barriers_1,barriers_2,barriers_3,barriers_4,barriers_5,barriers_6,barriers_7,barriers_8,barriers_9,barriers_10,barriers_11,barriers_12,barriers_13,barriers_14,barriers_15,barriers_16,id,productivity_1
-2,-2,0,-1,-1,-1,0,2,-1,0,-1,-1,1,0,0,0,112,50
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,113,0
0,1,2,0,0,1,0,0,0,0,1,0,0,0,1,0,114,20
0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,115,20
0,1,1,1,1,0,0,-1,1,0,2,0,-1,0,1,-1,116,30
0,2,1,1,0,-1,1,0,0,1,0,1,2,0,2,1,117,20
0,0,-1,1,-1,-1,-1,-1,0,-1,-1,0,-1,0,0,0,118,-10
-1,0,1,2,-2,1,-1,-1,2,1,-2,1,-1,2,2,-1,119,-30
2,2,2,0,0,2,1,0,2,0,2,2,0,1,0,0,120,50
0,0,1,-1,0,-1,0,0,0,0,0,-1,1,0,0,0,121,0
2,2,0,0,0,1,0,0,0,0,0,0,0,2,0,2,122,20
0,0,0,1,-1,1,0,0,0,0,-1,0,0,0,0,1,123,50
1,1,2,0,1,1,1,1,1,1,2,1,1,1,1,2,124,20
0,1,0,1,1,1,1,2,1,1,1,1,2,1,2,0,125,-10
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,126,50
1,2,2,2,2,2,0,0,-2,1,-1,2,2,1,1,2,127,20
2,2,2,2,2,2,2,2,-1,0,0,-1,0,0,0,0,128,-10
0,1,1,0,2,2,1,2,2,0,-1,1,1,0,0,2,129,20
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,130,50
0,-2,-1,0,-2,1,-1,0,1,2,1,-2,-1,-2,0,-1,131,30
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,132,20
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,133,-10
0,2,0,1,0,0,0,0,0,2,2,2,1,0,0,2,134,0
1,-1,1,1,0,1,-2,1,0,-2,1,1,0,2,0,1,135,50
0,0,-1,-1,-2,-2,0,-2,-1,-2,-1,-1,-2,0,-2,0,136,-30
1,0,0,2,1,1,-1,1,0,1,2,1,1,1,0,0,137,20
0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,138,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,139,30
-1,-2,0,1,-1,1,-2,1,1,1,0,0,1,1,1,1,140,50
2,1,0,1,0,1,-1,1,2,1,2,2,0,0,1,1,141,30
0,0,0,0,-1,0,-1,-1,0,0,0,0,1,0,0,0,142,50
0,0,0,0,0,1,0,2,0,1,0,1,0,1,1,1,143,20
0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,144,-50
0,0,0,0,0,-1,-1,2,1,0,0,1,0,0,0,1,145,30
1,0,0,-1,0,0,-2,1,0,0,1,-1,-1,2,0,0,146,-30
0,0,1,1,0,1,0,0,0,0,0,-1,0,0,2,2,147,30
1,1,2,0,0,1,-1,1,0,0,-1,0,-1,1,0,1,148,30
1,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,149,20
1,0,1,0,0,1,0,1,2,0,1,1,0,0,-1,0,150,30
1,1,0,0,1,0,1,1,0,0,1,1,0,0,1,0,151,50
0,0,0,0,0,-1,-1,0,-1,0,-1,0,2,0,0,0,152,40
0,1,1,1,0,2,0,2,1,1,2,0,0,1,0,2,153,20
1,2,0,1,2,1,0,1,2,2,0,1,1,0,2,0,154,30
0,1,1,0,1,1,0,1,0,0,1,0,0,0,1,0,155,10
1,0,0,0,1,1,0,1,0,1,0,1,1,2,0,1,156,10
2,1,0,1,2,2,1,0,2,2,1,1,2,2,0,1,157,40
0,0,0,0,-2,0,0,0,0,0,0,0,0,0,0,-2,158,-10
0,1,2,2,2,0,-1,0,-2,-1,1,-2,-1,0,2,1,159,40
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,160,30
1,2,1,0,1,1,1,2,1,1,1,2,1,1,0,1,161,40
2,1,0,0,-1,0,0,0,0,-2,1,1,-1,1,0,1,162,50
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,163,20
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,164,0
-1,0,-1,-1,1,0,-2,1,-1,-1,0,-1,-2,1,0,-2,165,-10
2,1,2,1,2,2,1,2,0,1,2,0,2,0,1,2,166,50
-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,167,0
-1,0,0,0,0,0,0,1,0,0,-1,-1,0,-2,0,0,168,-30
1,0,0,1,0,0,-1,0,0,1,0,1,0,1,0,0,169,20
0,-1,0,-2,-1,-2,-1,-1,1,1,-1,0,-1,0,-2,-1,170,-40
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,171,20
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,172,0
2,2,0,0,0,0,1,0,0,0,0,0,-2,0,0,0,173,0
0,0,1,-1,0,0,-1,-1,0,0,0,0,-1,0,0,0,174,30
0,0,0,-1,-1,0,-2,0,0,0,0,0,0,0,0,-1,175,50
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,176,-10
0,0,0,0,0,0,0,0,0,0,0,-1,0,1,0,1,177,10
-1,-2,0,-1,1,-1,-2,-1,-1,-1,-2,-2,1,1,-2,-2,178,10
1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,179,10
0,1,1,0,0,1,1,1,-1,-1,0,-1,-1,0,-1,0,180,0
0,0,0,0,-1,0,0,0,0,0,1,1,0,0,1,1,181,30
0,0,1,1,0,0,0,-1,0,0,1,0,-1,0,0,0,182,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,183,10
0,0,0,1,0,0,1,0,0,0,0,-1,0,0,0,0,184,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,185,20
-1,0,1,-2,-1,0,-2,-2,-2,-2,-2,-2,0,-2,-2,-2,186,-50
1,-1,1,0,0,0,0,0,0,0,-1,0,-1,0,0,0,187,10
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,188,30
0,0,0,-1,0,0,-1,-1,0,-1,0,-1,0,0,0,0,189,-20
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,190,50
0,-1,0,1,1,2,1,0,1,-1,-1,-1,0,0,-1,0,191,20
0,0,1,1,0,1,1,0,0,0,0,1,-1,0,1,0,192,10
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,193,0
0,0,0,0,0,0,0,-1,0,0,-1,0,0,0,0,0,194,40
-2,-1,0,0,0,0,0,1,0,0,0,-1,-2,-2,0,1,195,20
1,0,1,1,-1,1,1,1,1,-2,0,1,-2,1,-2,1,196,-10
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,197,-10
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,198,50
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,199,0
-1,1,0,0,-1,-2,0,2,-2,-1,0,0,2,-1,-1,1,200,50
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,201,40
0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,202,50
0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,203,50
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,204,10
